forage_class,forage_order,forage_fam,forage_genus,sci_name_combo,tax_level_combo,meanN_diet,FO_diet,n_present_diet,meanN_avail,FO_avail,n_present_avail
Actinopterygii,Clupeiformes,Engraulidae,Engraulis,Engraulis mordax,species,26.0745628921748,38.8204225352113,441,2.15814693583169,31.5268987341772,797
Actinopterygii,Scorpaeniformes,Sebastidae,Sebastes,Sebastes spp.,genus,7.09195659757549,27.7288732394366,315,1.45282046504108,72.745253164557,1839
Actinopterygii,Beloniformes,Scomberesocidae,Cololabis,Cololabis saira,species,6.24204994306666,17.6056338028169,200,8.04775535693196e-6,0.158227848101266,4
Actinopterygii,Clupeiformes,Clupeidae,Sardinops,Sardinops sagax,species,6.22289787661449,19.1021126760563,217,0.309112173257632,17.3259493670886,438
Actinopterygii,Gadiformes,Merlucciidae,Merluccius,Merluccius productus,species,4.12326199170507,6.25,71,1.07941849936662,46.3607594936709,1172
Actinopterygii,Perciformes,Carangidae,Trachurus,Trachurus symmetricus,species,3.34095291778775,11.2676056338028,128,0.026939139310175,6.36867088607595,161
Actinopterygii,Aulopiformes,Paralepididae,,Paralepididae spp.,family,2.10871888725381,7.83450704225352,89,0.0332069884316693,18.75,474
Actinopterygii,Myctophiformes,Myctophidae,,Myctophidae spp.,family,1.93762931620058,11.3556338028169,129,3.21382984070684,55.8148734177215,1411
Actinopterygii,Perciformes,Scombridae,Scomber,Scomber japonicus,species,1.42664836302268,3.87323943661972,44,0.0127740323370273,1.85917721518987,47
Actinopterygii,Syngnathiformes,Syngnathidae,,Syngnathidae spp.,family,0.244038418599628,1.49647887323944,17,0.00672731802079728,2.92721518987342,74
Actinopterygii,Pleuronectiformes,Pleuronectidae,,Pleuronectidae spp.,family,0.174559108333157,1.49647887323944,17,0.513324785371927,53.5205696202532,1353
Actinopterygii,Pleuronectiformes,Paralichthyidae,,Paralichthyidae spp.,family,0.0208066581306018,0.176056338028169,2,1.15778054587108,71.7167721518987,1813
Cephalopoda,Oegopsida,Onychoteuthidae,Onychoteuthis,Onychoteuthis borealijaponica,species,5.4174652753023,22.4471830985916,255,0.00645265329609976,9.92879746835443,251
Cephalopoda,Oegopsida,Gonatidae,Gonatus,Gonatus spp.,genus,3.70732136223216,15.2288732394366,173,0.179295261757777,40.2294303797468,1017
Cephalopoda,Octopoda,,,Octopoda spp.,order,3.18538358491198,17.6056338028169,200,0.0703067571156794,29.7072784810127,751
Cephalopoda,Oegopsida,Octopoteuthidae,Octopoteuthis,Octopoteuthis spp.,genus,2.33802193081132,13.4683098591549,153,0.00124581005022162,2.29430379746835,58
Cephalopoda,Oegopsida,Enoploteuthidae,Abraliopsis,Abraliopsis spp.,genus,1.83854688117523,10.2112676056338,116,0.426767000016272,35.9177215189873,908
Cephalopoda,Myopsida,Loliginidae,Doryteuthis,Doryteuthis opalescens,species,1.52641796347399,6.33802816901408,72,1.90655157021463,39.7943037974684,1006
Cephalopoda,Oegopsida,Gonatidae,Berryteuthis,Berryteuthis spp.,genus,1.05824392665724,2.37676056338028,27,4.6728097996519e-5,0.118670886075949,3
Cephalopoda,Oegopsida,Gonatidae,Gonatopsis,Gonatopsis spp.,genus,0.509333025455496,2.11267605633803,24,0.035399908196339,10.3639240506329,262
Cephalopoda,,,,Decapodiformes spp.,superorder,0.432080197797737,4.31338028169014,49,0.152115207166799,41.2183544303797,1042
Gastropoda,Pteropoda,,,Pteropoda spp.,order,0.0154129907651034,0.440140845070423,5,0.758416156732344,11.1155063291139,281
Hydrozoa,Leptothecata,Aequoreidae,Aequorea,Aequorea spp.,genus,0.0,0.0,0,0.848287700039283,8.22784810126582,208
Malacostraca,Amphipoda,,,Amphipoda spp.,order,8.04762739176159,27.4647887323944,312,0.110535169806529,19.1060126582278,483
Malacostraca,Euphausiacea,Euphausiidae,,Euphausiidae spp.,family,7.47380188791778,16.2852112676056,185,73.2416877922231,93.3939873417722,2361
Malacostraca,Decapoda,,,Decapoda spp.,order,3.60954115844762,13.0281690140845,148,2.8264110717936,58.2278481012658,1472
Malacostraca,,,,Malacostraca spp.,class,0.534913073930642,1.76056338028169,20,0.0508799112397802,1.58227848101266,40
Tentaculata,Cydippida,Pleurobrachiidae,Pleurobrachia,Pleurobrachia spp.,genus,0.0,0.0,0,0.927288673484458,3.52056962025316,89
Thaliacea,,,,Thaliacea spp.,class,0.108525030853117,0.792253521126761,9,3.43872277936818,38.251582278481,967
Thaliacea,Pyrosomatida,Pyrosomatidae,Pyrosoma,Pyrosoma atlanticum,species,0.0,0.0,0,3.28053722057804,30.0237341772152,759
,,,,Invertebrata spp.,,0.74410147391641,1.58450704225352,18,0.699205125249038,37.7768987341772,955
,,,,Other fish,,0.445179874125536,3.87323943661972,44,1.07575873227196,77.9667721518987,1971
